order_id,order_date,customer_id,product_id,quantity,unit_price,total_amount,discount,payment_method,order_status,customer_name,customer_gender,customer_age,country,city,customer_email,product_name,category,subcategory,product_brand,shipping_address,delivery_date
ORD-009833,2024-02-24,,PROD-0492,8.0,20.081,156.953,0.023,Debit Card,Delivered,Eugenia Montoya,Other,20,Netherlands,Rotterdam,matthieu64@example.com,Customizable needs-based implementation,Sports,Outdoor,HomePro,"3, rue de Barre, 12400 Couturier",2024-02-29
ORD-000001,2021-04-27,CUST-0112,PROD-0339,6.0,340.282,3069.421,0.001,Debit Card,Delivered,Fredi Pruschke,Male,23,Netherlands,Eindhoven,hornigmartha@example.org,La liberté d'avancer autrement,Books,Children,,"Calle de Sebastián Alcázar 1 Apt. 35 , Melilla, 20451",2021-05-11
ORD-008426,2020-11-15,CUST-1467,PROD-0109,10.0,229.636,2137.956,0.059,Credit Card,Shipped,Gregorio Sancho Solsona Vila,Other,74,Netherlands,The Hague,flemingryan@example.org,Self-enabling exuding forecast,Books,Non-Fiction,StyleBrand,"Cuesta Jacobo Lozano 59, Santa Cruz de Tenerife, 21916",2020-11-29
ORD-005811,2023-03-22,CUST-0435,PROD-0167,7.0,482.373,2708.042,0.198,Debit Card,Delivered,Hugues Barbier,,61,Spain,Barcelona,ylangern@example.com,Mandatory methodical architecture,Books,Comics,FreshFood,"PSC 0690, Box 8598, APO AA 90594",
ORD-004034,2021-03-21,CUST-0756,PROD-0005,9.0,338.485,2858.758,0.262,Apple Pay,Shipped,Samir auch Schlauchin,,54,Spain,Barcelona,fruppert@example.org,Seamless fault-tolerant algorithm,,Bakery,TechCorp,"Paseo de Galo Balaguer 93, León, 21573",2021-03-10
ORD-000382,2023-03-03,CUST-1109,PROD-0410,10.0,12.65,4136.316,0.114,PayPal,Shipped,Louise de la Mendès,Male,32,Spain,Madrid,avilajoshua@example.org,Upgradable dynamic synergy,Electronics,Tablets,SportMax,"25, boulevard Regnier, 54482 Lucas",2023-03-11
ORD-004886,2022-04-05,CUST-0704,PROD-0043,9.0,42.565,286.164,0.253,PayPal,Cancelled,Rafaela Planas Lastra,M,72,Spain,Seville,gertikuehnert@example.com,Self-enabling attitude-oriented benchmark,Clothing,,StyleBrand,"Plaza Anita Piñol 7, Madrid, 21418",2022-04-15
ORD-004325,2021-04-26,CUST-0556,PROD-0232,2.0,117.514,183.087,0.221,Debit Card,Delivered,Dominique Delaunay,MALE,63,Italy,Milan,mirjamruppersberger@example.org,,Toys,Outdoor,ToyLand,"Callejón de Cleto Vázquez 2, Huelva, 14921",2021-05-11
ORD-009886,2024-11-13,CUST-1262,PROD-0184,4.0,16.738,3539.174,0.067,Apple Pay,Delivered,Santiago Eusebio Quintanilla Franco,Other,38,Germany,Cologne,gilbert11@example.org,L'assurance d'atteindre vos buts en toute tranquilité,Food & Beverages,Snacks,FreshFood,"Hans-Hinrich-Pärtzelt-Allee 6927, 94212 Bergzabern",20-11-2024
ORD-009492,2020-12-18,CUST-0752,PROD-0317,7.0,464.36,3250.52,,Credit Card,,Thomas Scott,F,18,Belgium,Brussels,zvallee@example.net,L'avantage de louer de manière efficace,Toys,Puzzles,TechCorp,"Urbanización de Gregorio Arranz 93, Soria, 26982",2020-12-03
